experiment_id,tree_id,age,mean_rld_cm_cm3,radial_distance_from_stem_m,soil_depth_m,soil_depth_sum_m,rld,fine_roots_weight_kg_per_plant,medium_roots_weight_kg_per_plant,large_roots_weight_kg_per_plant,total_root_to_1m__kg_per_plant,total_toots__kg_per_plant,year,row_location
A,1,1.5,0.07,0.109717868,-0.1,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.104702194,-0.165217391,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.109717868,-0.269565217,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.094670846,-0.491304348,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.104702194,-0.595652174,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.084639498,-0.7,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.094670846,-0.765217391,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.154858934,-0.073913043,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.154858934,-0.230434783,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.159874608,-0.386956522,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.255172414,-0.1,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.245141066,-0.243478261,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.245141066,-0.334782609,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.410658307,-0.256521739,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.395611285,-0.386956522,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.395611285,-0.543478261,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.405642633,-0.62173913,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.450783699,-0.386956522,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.500940439,-0.334782609,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.561128527,-0.243478261,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.561128527,-0.360869565,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.601253918,-0.439130435,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.561128527,-0.752173913,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.601253918,-0.595652174,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.561128527,-0.647826087,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.611285266,-0.165217391,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.711598746,-0.139130435,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.71661442,-0.32173913,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.706583072,-0.452173913,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.711598746,-0.517391304,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.761755486,-0.191304348,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.756739812,-0.334782609,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.756739812,-0.439130435,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.796865204,-0.073913043,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.811912226,-0.360869565,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.806896552,-0.439130435,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.801880878,-0.595652174,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.71661442,-0.739130435,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.957366771,-0.660869565,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,0.957366771,-0.517391304,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,1.017554859,-0.139130435,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,1.002507837,-0.491304348,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,1.087774295,-0.4,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,1.203134796,-0.439130435,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,1.20815047,-0.504347826,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,1.203134796,-0.647826087,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,1.408777429,-0.4,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,1.539184953,-0.360869565,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,1.599373041,-0.465217391,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,1.669592476,-0.491304348,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,1.709717868,-0.282608696,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,1.810031348,-0.386956522,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,1.629467085,-0.908695652,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,1,1.5,0.07,1.569278997,-0.830434783,1,0<RLD<0.5,0.16,0.71,0.28,1.15,1.15,,
A,4,12,0.11,0.110320285,-1.087640449,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.110320285,-0.885393258,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.105338078,-1.950561798,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.309608541,-0.130337079,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.304626335,-0.292134831,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.309608541,-0.534831461,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.314590747,-0.750561798,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.304626335,-0.885393258,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.304626335,-1.168539326,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.304626335,-1.721348315,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.299644128,-1.937078652,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.598576512,-1.950561798,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.598576512,-1.6,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.598576512,-1.397752809,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.603558719,-0.71011236,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.598576512,-0.46741573,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.613523132,-0.305617978,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.598576512,-0.143820225,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.723131673,-0.08988764,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.703202847,-0.224719101,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.703202847,-0.453932584,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.71316726,-0.84494382,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.698220641,-1.15505618,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.708185053,-1.397752809,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.693238434,-1.519101124,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.897508897,-0.076404494,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.902491103,-0.143820225,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.897508897,-0.197752809,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.897508897,-0.521348315,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.897508897,-0.77752809,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.897508897,-1.114606742,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.902491103,-1.208988764,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.89252669,-1.438202247,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.902491103,-1.519101124,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.007117438,-1.950561798,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.007117438,-1.235955056,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.007117438,-0.764044944,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.007117438,-0.696629213,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.007117438,-0.359550562,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.007117438,-0.211235955,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,0.992170819,-0.103370787,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.306049822,-0.08988764,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.306049822,-0.642696629,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.296085409,-1.303370787,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.390747331,-1.653932584,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.390747331,-1.465168539,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.390747331,-1.22247191,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.395729537,-0.939325843,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.500355872,-0.184269663,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.490391459,-0.507865169,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.505338078,-0.696629213,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.490391459,-0.898876404,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.495373665,-1.249438202,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.6,-1.438202247,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.595017794,-1.815730337,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.604982206,-0.588764045,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.609964413,-0.4,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.609964413,-0.035955056,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.79430605,-0.143820225,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.799288256,-0.292134831,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.749466192,-0.4,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.789323843,-0.683146067,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.809252669,-0.952808989,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.789323843,-1.15505618,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.903914591,-1.262921348,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.893950178,-1.343820225,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.893950178,-1.883146067,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.898932384,-0.346067416,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.898932384,-0.46741573,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.898932384,-0.575280899,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.888967972,-0.898876404,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,4,12,0.11,1.898932384,-0.979775281,1,0<RLD<0.5,0.2,5.4,18.4,26.1,26.1,,
A,5,14,0.19,0.112225705,-0.296774194,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.160501567,-0.348387097,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.160501567,-0.206451613,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.156112853,-0.103225806,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.112225705,-0.670967742,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.156112853,-0.812903226,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.11661442,-1.483870968,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.160501567,-1.432258065,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.287774295,-0.090322581,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.28338558,-0.193548387,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.296551724,-0.464516129,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.287774295,-0.632258065,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.28338558,-0.722580645,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.287774295,-0.929032258,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.292163009,-1.083870968,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.287774295,-1.238709677,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.287774295,-1.470967742,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.375548589,-1.6,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.375548589,-0.838709677,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.379937304,-0.387096774,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.371159875,-0.283870968,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.559874608,-0.103225806,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.555485893,-0.193548387,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.546708464,-0.361290323,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.555485893,-0.55483871,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.546708464,-0.787096774,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.551097179,-0.941935484,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.546708464,-1.135483871,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.551097179,-1.303225806,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.551097179,-1.587096774,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.638871473,-0.103225806,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.638871473,-0.361290323,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.647648903,-0.490322581,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.643260188,-0.735483871,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.638871473,-0.838709677,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.638871473,-1.135483871,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.643260188,-1.329032258,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.638871473,-1.496774194,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.643260188,-1.587096774,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
A,5,14,0.19,0.902194357,-0.103225806,1.6,0<RLD<0.5,3.84,4.5,22.12,25.32,30.45,,
