id,plant_id,organ_id,order,segment_rank,parent,coordinates,diameter,length,x,y,z
1,1,0,0,0,-1,0 0 0,0.0,0.0,0.0,0.0,0.0
2,1,1,1,1,1,-0.0006816878 0.0001665793 -0.0006145092,0.0228460466,0.1723133904,-0.0006816878,0.0001665793,-0.0006145092
3,1,1,1,2,2,0.0153147975 0.0251517973 -0.0556231439,0.0209539322,0.0834375468,0.0153147975,0.0251517973,-0.0556231439
4,1,1,1,3,3,0.0253383624 0.0253602512 -0.0847390203,0.0186829606,0.0124064719,0.0253383624,0.0253602512,-0.0847390203
5,1,1,1,4,4,0.028239101 0.0260745632 -0.088183746,0.0165530977,0.2812380478,0.028239101,0.0260745632,-0.088183746
6,1,1,1,5,5,0.0686376597 0.0753512396 -0.1671099171,0.0146142953,0.1722896116,0.0686376597,0.0753512396,-0.1671099171
7,1,1,1,6,6,0.0902859601 0.1092928361 -0.2142811834,0.0126933176,0.2282658721,0.0902859601,0.1092928361,-0.2142811834
8,1,1,1,7,7,0.1619000747 0.1058608254 -0.2604384407,0.0107265884,0.2629496377,0.1619000747,0.1058608254,-0.2604384407
9,1,1,1,8,8,0.2356352839 0.070651914 -0.3179516436,0.0087810861,0.1987719815,0.2356352839,0.070651914,-0.3179516436
10,1,1,1,9,9,0.2792893111 0.0552714081 -0.3764351242,0.0068789639,0.0548786421,0.2792893111,0.0552714081,-0.3764351242
11,1,1,1,10,10,0.2901022118 0.0628850153 -0.3912820505,0.0046340581,0.2834981631,0.2901022118,0.0628850153,-0.3912820505
12,1,2,1,1,1,0.0002399759 3.35001e-05 -0.0010742041,0.0224216488,0.2124449994,0.0002399759,3.35001e-05,-0.0010742041
13,1,2,1,2,12,-0.0626143078 0.0137205157 -0.0053817936,0.0204623832,0.2179124238,-0.0626143078,0.0137205157,-0.0053817936
14,1,2,1,3,13,-0.1326874387 -0.0046587056 -0.0238192961,0.018224898,0.054327617,-0.1326874387,-0.0046587056,-0.0238192961
15,1,2,1,4,14,-0.1490674099 -0.0047117388 -0.0231469124,0.0162760571,0.2043749818,-0.1490674099,-0.0047117388,-0.0231469124
16,1,2,1,5,15,-0.2143993542 -0.0242188869 -0.0365817542,0.0143460083,0.2055131391,-0.2143993542,-0.0242188869,-0.0365817542
17,1,2,1,6,16,-0.2783666283 -0.0193544542 -0.0547381929,0.0123759472,0.2120163208,-0.2783666283,-0.0193544542,-0.0547381929
18,1,2,1,7,17,-0.3442833464 -0.0178121999 -0.061641805,0.0103317254,0.0674922597,-0.3442833464,-0.0178121999,-0.061641805
19,1,2,1,8,18,-0.3657980348 -0.0239597691 -0.0653518074,0.0083077466,0.2589567134,-0.3657980348,-0.0239597691,-0.0653518074
20,1,2,1,9,19,-0.4364721302 0.0034326356 -0.0602660708,0.0062205432,0.0255521922,-0.4364721302,0.0034326356,-0.0602660708
21,1,2,1,10,20,-0.4442906589 3.38436e-05 -0.0607843409,0.0042752787,0.1185508948,-0.4442906589,3.38436e-05,-0.0607843409
22,1,4,1,1,1,-0.0010683035 0.0004533923 -0.0006715763,0.0228164608,0.0947084154,-0.0010683035,0.0004533923,-0.0006715763
23,1,4,1,2,22,0.0142970826 -0.0152531711 -0.0270473804,0.0208245707,0.2002162489,0.0142970826,-0.0152531711,-0.0270473804
24,1,4,1,3,23,0.0122013774 -0.0856402673 -0.0430314775,0.0188876284,0.1052559512,0.0122013774,-0.0856402673,-0.0430314775
25,1,4,1,4,24,0.0270499029 -0.0972921099 -0.0762662683,0.0169315757,0.0103558075,0.0270499029,-0.0972921099,-0.0762662683
26,1,4,1,5,25,0.0264551583 -0.1003044133 -0.0784246095,0.0148623344,0.1726602073,0.0264551583,-0.1003044133,-0.0784246095
27,1,4,1,6,26,0.0426256539 -0.1475262485 -0.1159867403,0.012913776,0.1936227499,0.0426256539,-0.1475262485,-0.1159867403
28,1,4,1,7,27,0.0313989325 -0.1890936164 -0.1716714897,0.0107656165,0.1986647194,0.0313989325,-0.1890936164,-0.1716714897
29,1,4,1,8,28,0.0611298897 -0.2272439692 -0.2249849407,0.0085738161,0.0941122663,0.0611298897,-0.2272439692,-0.2249849407
30,1,4,1,9,29,0.0617281391 -0.2601598845 -0.2332659992,0.0065944959,0.0664115787,0.0617281391,-0.2601598845,-0.2332659992
31,1,4,1,10,30,0.0685597442 -0.2748937965 -0.2510375226,0.0044706799,0.2185939836,0.0685597442,-0.2748937965,-0.2510375226
32,1,5,1,1,1,-0.0004852555 0.0005624506 -0.0008013209,0.0224663027,0.1364941741,-0.0004852555,0.0005624506,-0.0008013209
33,1,5,1,2,32,0.034301358 -0.0214764558 -0.0235168023,0.0203858926,0.1876751231,0.034301358,-0.0214764558,-0.0235168023
34,1,5,1,3,33,0.0586525143 -0.07071306 -0.0375081967,0.0183108799,0.187029587,0.0586525143,-0.07071306,-0.0375081967
35,1,5,1,4,34,0.0920474752 -0.1165315283 -0.0495390504,0.0163160341,0.0667084993,0.0920474752,-0.1165315283,-0.0495390504
36,1,5,1,5,35,0.1107837273 -0.1268452934 -0.0578461645,0.0143559297,0.2254500425,0.1107837273,-0.1268452934,-0.0578461645
37,1,5,1,6,36,0.1564773791 -0.1800309224 -0.0646189571,0.0124619371,0.0561848339,0.1564773791,-0.1800309224,-0.0646189571
38,1,5,1,7,37,0.1756491865 -0.182722126 -0.0704086979,0.0101595868,0.2436706321,0.1756491865,-0.182722126,-0.0704086979
39,1,5,1,8,38,0.2484488533 -0.2151826596 -0.0998286478,0.0082314603,0.0878380307,0.2484488533,-0.2151826596,-0.0998286478
40,1,5,1,9,39,0.278156309 -0.2218570218 -0.1067673592,0.0061874917,0.1523300771,0.278156309,-0.2218570218,-0.1067673592
41,1,5,1,10,40,0.324601174 -0.2443539699 -0.11241692,0.0042542452,0.2119399582,0.324601174,-0.2443539699,-0.11241692
42,1,6,1,1,1,0.0002266822 0.0004608421 -0.0001010472,0.0226700536,0.2241747859,0.0002266822,0.0004608421,-0.0001010472
43,1,6,1,2,42,0.0057831899 -0.0416454748 -0.0454050549,0.0206429798,0.2253280377,0.0057831899,-0.0416454748,-0.0454050549
44,1,6,1,3,43,0.0091412224 -0.0936701332 -0.0798693399,0.0187274741,0.2699467084,0.0091412224,-0.0936701332,-0.0798693399
45,1,6,1,4,44,0.0418603566 -0.1521302509 -0.1138871357,0.0166526274,0.1275313937,0.0418603566,-0.1521302509,-0.1138871357
46,1,6,1,5,45,0.0528972453 -0.1753057113 -0.1382387877,0.0146332593,0.2463432453,0.0528972453,-0.1753057113,-0.1382387877
47,1,6,1,6,46,0.0296489743 -0.2319521581 -0.1682165917,0.0125858385,0.1823067668,0.0296489743,-0.2319521581,-0.1682165917
